127.0.0.1 - - [12/Nov/2024:09:09:48 -0500] "GET / HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:09:50 -0500] "GET /IndusStudentDaoRestService/ HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:09:50 -0500] "GET /favicon.ico HTTP/1.1" 404 766
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:10:21 -0500] "GET /IndusStudentDaoRestService/rest/student/fetch/123 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:10:21 -0500] "GET /IndusStudentDaoRestService/rest/student/fetch/123 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:12:00 -0500] "GET /IndusStudentDaoRestService/rest/student/fetch/1026 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:12:07 -0500] "GET /IndusStudentDaoRestService/rest/student/fetch/222 HTTP/1.1" 404 18
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:17:27 -0500] "GET /IndusStudentDaoRestService/rest/student/fetch/123 HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:17:30 -0500] "GET /IndusStudentDaoRestService/rest/student/fetch/1234 HTTP/1.1" 404 18
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:17:46 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/insert HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:17:46 -0500] "POST /IndusStudentDaoRestService/rest/student/insert HTTP/1.1" 201 30
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:19:33 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/insert HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:19:33 -0500] "POST /IndusStudentDaoRestService/rest/student/insert HTTP/1.1" 400 25
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:20:14 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/delete/13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:20:14 -0500] "DELETE /IndusStudentDaoRestService/rest/student/delete/13 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:21:18 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/delete/13 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:21:18 -0500] "DELETE /IndusStudentDaoRestService/rest/student/delete/13 HTTP/1.1" 400 25
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:21:27 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/delete/102 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:21:27 -0500] "DELETE /IndusStudentDaoRestService/rest/student/delete/102 HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:15 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:15 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:20 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:20 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:26 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:26 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:26 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:26 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "PUT /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 29
0:0:0:0:0:0:0:1 - - [12/Nov/2024:09:31:27 -0500] "OPTIONS /IndusStudentDaoRestService/rest/student/update/1026?firstName=Teja&lastName=Bade HTTP/1.1" 200 -
